timestamp,angle,correct
1750981860.050413,3.39,0
1750981860.185631,17.72,0
1750981860.3106492,3.35,0
1750981860.4392884,4.45,0
1750981860.5643015,0.51,0
1750981860.68816,0.48,0
1750981860.815082,6.31,0
1750981860.9409258,7.51,0
1750981861.0678477,176.68,0
1750981861.1944807,1.06,0
1750981861.3236973,2.00,0
1750981861.4505408,1.97,0
1750981861.5793254,3.44,0
1750981861.7069795,1.74,0
1750981861.8298695,1.57,0
1750981861.952558,3.37,0
1750981862.0770268,3.29,0
1750981862.1994138,3.44,0
1750981862.3205857,1.83,0
1750981862.4429255,4.75,0
1750981862.570052,31.79,0
1750981862.6961303,179.30,0
1750981862.825402,161.75,0
1750981862.9557974,143.57,0
1750981863.0746431,164.55,0
1750981863.1848037,170.36,0
1750981863.2964826,172.58,0
1750981863.41812,170.66,0
1750981863.5436163,158.25,0
1750981863.6636543,151.35,0
1750981863.7953432,157.92,0
1750981863.9216285,160.49,0
1750981864.0493252,157.68,0
1750981864.1964562,161.10,0
1750981864.3244736,163.20,0
1750981864.4524052,167.72,0
1750981864.5760348,149.69,0
1750981864.7024758,141.20,0
1750981864.827025,145.76,0
1750981864.9485097,154.32,0
1750981865.0772948,131.67,0
1750981865.2052958,41.35,0
1750981865.332616,157.04,0
1750981865.4628947,171.31,0
1750981865.593896,172.18,0
1750981865.7218184,157.28,0
1750981865.85143,167.61,0
1750981865.9773884,12.57,0
1750981866.1037917,2.46,0
1750981866.2300463,33.88,0
1750981866.3545702,106.01,1
1750981866.4824083,36.77,0
1750981866.6109645,31.77,0
1750981866.7346687,51.36,1
1750981866.8581426,31.26,0
1750981866.9845448,38.54,0
1750981867.1125531,52.63,1
1750981867.2367804,169.83,0
1750981867.3622787,134.40,0
1750981867.4901602,99.47,1
1750981867.6196406,42.23,0
1750981867.7437527,41.76,0
1750981867.8686733,131.52,0
1750981867.9934556,42.87,0
1750981868.1198,131.90,0
1750981868.2458518,73.83,1
1750981868.3758314,74.23,1
1750981869.628173,35.58,0
1750981869.755858,155.70,0
1750981869.8813086,157.59,0
1750981870.0069387,164.57,0
1750981870.1323886,170.85,0
1750981870.2557194,152.21,0
1750981870.3770654,147.78,0
1750981870.506337,159.30,0
1750981870.6326752,155.10,0
1750981870.764419,158.09,0
1750981870.8923225,160.79,0
1750981871.0168293,159.95,0
1750981871.1484776,160.09,0
1750981871.2766702,162.86,0
1750981871.4021556,160.58,0
1750981871.531164,158.91,0
1750981871.6584995,156.84,0
1750981871.7884867,159.76,0
1750981871.9243884,159.99,0
1750981872.0497808,147.39,0
1750981872.1782646,118.91,1
1750981872.3033736,107.80,1
1750981872.4284573,111.33,1
1750981872.553701,153.90,0
1750981872.6752357,111.27,1
1750981872.8007576,84.81,1
1750981872.9298441,160.90,0
1750981876.141702,154.36,0
1750981876.2715106,157.20,0
1750981876.3970544,147.25,0
1750981876.522961,162.61,0
1750981876.644729,164.70,0
1750981876.7759273,98.58,1
1750981876.9002428,179.20,0
1750981877.0281124,178.27,0
1750981877.152713,168.47,0
1750981877.2797697,167.07,0
1750981877.4285975,166.71,0
1750981877.5563986,161.44,0
1750981877.6816165,162.77,0
1750981877.8100288,158.71,0
1750981877.937609,158.40,0
1750981878.0673754,155.42,0
1750981878.200549,157.74,0
1750981878.3234637,158.19,0
1750981878.4565187,157.69,0
1750981878.5865142,157.94,0
1750981878.7166443,159.02,0
1750981878.8494575,159.94,0
1750981878.9749992,161.07,0
1750981879.101887,165.50,0
1750981879.2294044,160.08,0
1750981879.3559291,163.64,0
1750981879.5112512,162.06,0
1750981879.6350808,163.14,0
1750981879.768159,164.24,0
1750981879.896651,160.43,0
1750981880.021365,159.28,0
1750981880.1483603,158.64,0
1750981880.2766306,158.83,0
1750981880.4055495,159.70,0
1750981880.534608,160.74,0
1750981880.6633065,163.52,0
1750981880.7945569,165.00,0
1750981880.920827,167.60,0
1750981881.0492795,171.22,0
1750981881.1809146,171.58,0
1750981881.307988,171.80,0
1750981881.4382236,171.01,0
1750981881.5620544,170.67,0
1750981881.6868713,169.96,0
1750981881.8324223,170.50,0
1750981881.9785826,169.74,0
1750981882.104518,170.43,0
1750981882.2324414,170.46,0
1750981882.3613029,168.43,0
1750981882.4868429,170.92,0
1750981882.61446,169.49,0
1750981882.739682,169.33,0
1750981882.8664856,168.52,0
1750981882.996457,168.62,0
1750981883.1264994,169.26,0
1750981883.2560866,168.15,0
1750981883.3802655,171.10,0
1750981883.5105011,171.35,0
1750981883.6402495,171.68,0
1750981883.7724206,170.09,0
1750981883.90465,169.96,0
1750981884.0351033,167.00,0
1750981884.1645372,166.03,0
1750981884.29173,166.14,0
1750981884.420567,166.30,0
1750981884.5486672,165.08,0
1750981884.6709545,165.49,0
1750981884.7957015,169.44,0
1750981884.9171002,169.63,0
